time,date,S&P500,ret
131,9/9/2013,1671.709961,0.009943282
132,9/10/2013,1683.98999,0.00731894
133,9/11/2013,1689.130005,0.003047635
134,9/12/2013,1683.420044,-0.003386142
135,9/13/2013,1687.98999,0.002711001
136,9/16/2013,1697.599976,0.005677009
137,9/17/2013,1704.76001,0.004208869
138,9/18/2013,1725.52002,0.012104122
139,9/19/2013,1722.339966,-0.001844654
140,9/20/2013,1709.910034,-0.007243054
141,9/23/2013,1701.839966,-0.004730759
142,9/24/2013,1697.420044,-0.002600522
143,9/25/2013,1692.77002,-0.002743225
144,9/26/2013,1698.670044,0.003479366
145,9/27/2013,1691.75,-0.004082122
146,9/30/2013,1681.550049,-0.00604748
147,10/1/2013,1695,0.007966725
148,10/2/2013,1693.869995,-0.000666892
149,10/3/2013,1678.660034,-0.009019973
150,10/4/2013,1690.5,0.007028467
151,10/7/2013,1676.119995,-0.008542748
152,10/8/2013,1655.449951,-0.01240875
153,10/9/2013,1656.400024,0.000573742
154,10/10/2013,1692.560059,0.021595623
155,10/11/2013,1703.199951,0.006266595
156,10/14/2013,1710.140015,0.004066441
157,10/15/2013,1698.060059,-0.00708879
158,10/16/2013,1721.540039,0.013732804
159,10/17/2013,1733.150024,0.006721314
160,10/18/2013,1744.5,0.006527406
161,10/21/2013,1744.660034,9.17321E-05
162,10/22/2013,1754.670044,0.005721116
163,10/23/2013,1746.380005,-0.004735753
164,10/24/2013,1752.069946,0.003252838
165,10/25/2013,1759.77002,0.004385215
166,10/28/2013,1762.109985,0.001328816
167,10/29/2013,1771.949951,0.005568661
168,10/30/2013,1763.310059,-0.004887849
169,10/31/2013,1756.540039,-0.003846771
170,11/1/2013,1761.640015,0.002899215
171,11/4/2013,1767.930054,0.003564199
172,11/5/2013,1762.969971,-0.002809531
173,11/6/2013,1770.48999,0.004256468
174,11/7/2013,1747.150024,-0.013270436
175,11/8/2013,1770.609985,0.013338209
176,11/11/2013,1771.890015,0.00072267
177,11/12/2013,1767.689941,-0.002373206
178,11/13/2013,1782,0.008062753
179,11/14/2013,1790.619995,0.004825597
180,11/15/2013,1798.180054,0.004213147
181,11/18/2013,1791.530029,-0.003705053
182,11/19/2013,1787.869995,-0.002045055
183,11/20/2013,1781.369995,-0.003642236
184,11/21/2013,1795.849976,0.008095706
185,11/22/2013,1804.76001,0.00494919
186,11/25/2013,1802.47998,-0.001264141
187,11/26/2013,1802.75,0.000149793
188,11/27/2013,1807.22998,0.002481998
189,11/29/2013,1805.810059,-0.000785998
190,12/2/2013,1800.900024,-0.002722724
191,12/3/2013,1795.150024,-0.003197956
192,12/4/2013,1792.810059,-0.001304343
193,12/5/2013,1785.030029,-0.004349016
194,12/6/2013,1805.089966,0.011175195
195,12/9/2013,1808.369995,0.001815451
196,12/10/2013,1802.619995,-0.003184725
197,12/11/2013,1782.219971,-0.011381397
198,12/12/2013,1775.5,-0.003777689
199,12/13/2013,1775.319946,-0.000101415
200,12/16/2013,1786.540039,0.006300152
201,12/17/2013,1781,-0.003105806
202,12/18/2013,1810.650024,0.016510906
203,12/19/2013,1809.599976,-0.000580097
204,12/20/2013,1818.319946,0.004807155
205,12/23/2013,1827.98999,0.005304029
206,12/24/2013,1833.319946,0.002911504
207,12/26/2013,1842.02002,0.004734305
208,12/27/2013,1841.400024,-0.000336641
209,12/30/2013,1841.069946,-0.00017927
210,12/31/2013,1848.359985,0.003951856
211,1/2/2014,1831.97998,-0.008901413
212,1/3/2014,1831.369995,-0.00033302
213,1/6/2014,1826.77002,-0.002514927
214,1/7/2014,1837.880005,0.006063345
215,1/8/2014,1837.48999,-0.000212232
216,1/9/2014,1838.130005,0.000348249
217,1/10/2014,1842.369995,0.00230403
218,1/13/2014,1819.199951,-0.012655966
219,1/14/2014,1838.880005,0.010759876
220,1/15/2014,1848.380005,0.005152889
221,1/16/2014,1845.890015,-0.001348028
222,1/17/2014,1838.699951,-0.003902781
223,1/21/2014,1843.800049,0.002769912
224,1/22/2014,1844.859985,0.0005747
225,1/23/2014,1828.459961,-0.008929325
226,1/24/2014,1790.290039,-0.021096421
227,1/27/2014,1781.560059,-0.004888222
228,1/28/2014,1792.5,0.006121875
229,1/29/2014,1774.199951,-0.010261704
230,1/30/2014,1794.189941,0.011204044
231,1/31/2014,1782.589966,-0.00648629
232,2/3/2014,1741.890015,-0.023096605
233,2/4/2014,1755.199951,0.007612043
234,2/5/2014,1751.640015,-0.002030282
235,2/6/2014,1773.430054,0.012363054
236,2/7/2014,1797.02002,0.013214194
237,2/10/2014,1799.839966,0.001568005
238,2/11/2014,1819.75,0.011001376
239,2/12/2014,1819.26001,-0.000269299
240,2/13/2014,1829.829956,0.005793212
241,2/14/2014,1838.630005,0.004797689
242,2/18/2014,1840.76001,0.001157803
243,2/19/2014,1828.75,-0.006545862
244,2/20/2014,1839.780029,0.006013342
245,2/21/2014,1836.25,-0.001920567
246,2/24/2014,1847.609985,0.006167455
247,2/25/2014,1845.119995,-0.001348591
248,2/26/2014,1845.160034,2.16997E-05
249,2/27/2014,1854.290039,0.004935881
250,2/28/2014,1859.449951,0.002778824
251,3/3/2014,1845.72998,-0.007405866
252,3/4/2014,1873.910034,0.015152323
253,3/5/2014,1873.810059,-5.33524E-05
254,3/6/2014,1877.030029,0.001716933
255,3/7/2014,1878.040039,0.000537945
256,3/10/2014,1877.170044,-0.000463354
257,3/11/2014,1867.630005,-0.005095097
258,3/12/2014,1868.199951,0.000305124
259,3/13/2014,1846.339966,-0.011770092
260,3/14/2014,1841.130005,-0.002825766
261,3/17/2014,1858.829956,0.009567718
262,3/18/2014,1872.25,0.007193682
263,3/19/2014,1860.77002,-0.006150525
264,3/20/2014,1872.01001,0.006022334
265,3/21/2014,1866.52002,-0.00293698
266,3/24/2014,1857.439941,-0.004876581
267,3/25/2014,1865.619995,0.004394271
268,3/26/2014,1852.560059,-0.007024937
269,3/27/2014,1849.040039,-0.001901892
270,3/28/2014,1857.619995,0.004629489
271,3/31/2014,1872.339966,0.007892872
272,4/1/2014,1885.52002,0.007014688
273,4/2/2014,1890.900024,0.002849263
274,4/3/2014,1888.77002,-0.001127085
275,4/4/2014,1865.089966,-0.012616543
276,4/7/2014,1845.040039,-0.010808312
277,4/8/2014,1851.959961,0.003743538
278,4/9/2014,1872.180054,0.010859039
279,4/10/2014,1833.079956,-0.021105968
280,4/11/2014,1815.689941,-0.00953206
281,4/14/2014,1830.609985,0.008183708
282,4/15/2014,1842.97998,0.006734579
283,4/16/2014,1862.310059,0.010433868
284,4/17/2014,1864.849976,0.001362924
285,4/21/2014,1871.890015,0.003768016
286,4/22/2014,1879.550049,0.004083789
287,4/23/2014,1875.390015,-0.002215767
288,4/24/2014,1878.609985,0.001715488
289,4/25/2014,1863.400024,-0.008129345
290,4/28/2014,1869.430054,0.003230812
291,4/29/2014,1878.329956,0.00474946
292,4/30/2014,1883.949951,0.00298755
293,5/1/2014,1883.680054,-0.000143271
294,5/2/2014,1881.140015,-0.001349355
295,5/5/2014,1884.660034,0.001869467
296,5/6/2014,1867.719971,-0.009029031
297,5/7/2014,1878.209961,0.005600755
298,5/8/2014,1875.630005,-0.001374569
299,5/9/2014,1878.47998,0.001518323
300,5/12/2014,1896.650024,0.009626256
301,5/13/2014,1897.449951,0.000421669
302,5/14/2014,1888.530029,-0.00471209
303,5/15/2014,1870.849976,-0.009405904
304,5/16/2014,1877.859985,0.003739962
305,5/19/2014,1885.079956,0.003837414
306,5/20/2014,1872.829956,-0.006519605
307,5/21/2014,1888.030029,0.00808334
308,5/22/2014,1892.48999,0.002359444
309,5/23/2014,1900.530029,0.004239393
310,5/27/2014,1911.910034,0.00596995
311,5/28/2014,1909.780029,-0.001114693
312,5/29/2014,1920.030029,0.005352759
313,5/30/2014,1923.569946,0.00184198
314,6/2/2014,1924.969971,0.000727562
315,6/3/2014,1924.23999,-0.000379289
316,6/4/2014,1927.880005,0.001889877
317,6/5/2014,1940.459961,0.006504082
318,6/6/2014,1949.439941,0.004617083
319,6/9/2014,1951.27002,0.000938331
320,6/10/2014,1950.790039,-0.000246014
321,6/11/2014,1943.890015,-0.003543311
322,6/12/2014,1930.109985,-0.007114139
323,6/13/2014,1936.160034,0.003129659
324,6/16/2014,1937.780029,0.000836355
325,6/17/2014,1941.98999,0.002170212
326,6/18/2014,1956.97998,0.007689243
327,6/19/2014,1959.47998,0.001276663
328,6/20/2014,1962.869995,0.001728564
329,6/23/2014,1962.609985,-0.000132473
330,6/24/2014,1949.97998,-0.006456107
331,6/25/2014,1959.530029,0.004885558
332,6/26/2014,1957.219971,-0.001179579
333,6/27/2014,1960.959961,0.001909045
334,6/30/2014,1960.22998,-0.000372326
335,7/1/2014,1973.319946,0.006655573
336,7/2/2014,1974.619995,0.000658596
337,7/3/2014,1985.439941,0.00546455
338,7/7/2014,1977.650024,-0.003931239
339,7/8/2014,1963.709961,-0.007073762
340,7/9/2014,1972.829956,0.004633516
341,7/10/2014,1964.680054,-0.004139628
342,7/11/2014,1967.569946,0.001469842
343,7/14/2014,1977.099976,0.004831861
344,7/15/2014,1973.280029,-0.001933965
345,7/16/2014,1981.569946,0.004192285
346,7/17/2014,1958.119995,-0.011904606
347,7/18/2014,1978.219971,0.010212609
348,7/21/2014,1973.630005,-0.002322947
349,7/22/2014,1983.530029,0.005003611
350,7/23/2014,1987.01001,0.001752901
351,7/24/2014,1987.97998,0.000488036
352,7/25/2014,1978.339966,-0.004860946
353,7/28/2014,1978.910034,0.000288113
354,7/29/2014,1969.949951,-0.004538068
355,7/30/2014,1970.069946,6.09109E-05
356,7/31/2014,1930.670044,-0.020201932
357,8/1/2014,1925.150024,-0.002863216
358,8/4/2014,1938.98999,0.007163315
359,8/5/2014,1920.209961,-0.009732679
360,8/6/2014,1920.23999,1.56383E-05
361,8/7/2014,1909.569946,-0.005572115
362,8/8/2014,1931.589966,0.011465423
363,8/11/2014,1936.920044,0.002755625
364,8/12/2014,1933.75,-0.001637982
365,8/13/2014,1946.719971,0.006684767
366,8/14/2014,1955.180054,0.004336398
367,8/15/2014,1955.060059,-6.13747E-05
368,8/18/2014,1971.73999,0.008495483
369,8/19/2014,1981.599976,0.004988191
370,8/20/2014,1986.51001,0.002474748
371,8/21/2014,1992.369995,0.002945547
372,8/22/2014,1988.400024,-0.001994575
373,8/25/2014,1997.920044,0.004776354
374,8/26/2014,2000.02002,0.001050529
375,8/27/2014,2000.119995,4.99858E-05
376,8/28/2014,1996.73999,-0.001691331
377,8/29/2014,2003.369995,0.003314914
378,9/2/2014,2002.280029,-0.000544214
379,9/3/2014,2000.719971,-0.000779444
380,9/4/2014,1997.650024,-0.0015356
381,9/5/2014,2007.709961,0.005023248
382,9/8/2014,2001.540039,-0.003077846
383,9/9/2014,1988.439941,-0.006566522
384,9/10/2014,1995.689941,0.003639444
385,9/11/2014,1997.449951,0.000881517
386,9/12/2014,1985.540039,-0.005980405
387,9/15/2014,1984.130005,-0.000710404
388,9/16/2014,1998.97998,0.007456507
389,9/17/2014,2001.569946,0.001294805
390,9/18/2014,2011.359985,0.004879257
391,9/19/2014,2010.400024,-0.000477384
392,9/22/2014,1994.290039,-0.008045602
393,9/23/2014,1982.77002,-0.00579325
394,9/24/2014,1998.300049,0.007801977
395,9/25/2014,1965.98999,-0.016300913
396,9/26/2014,1982.849976,0.008539261
397,9/29/2014,1977.800049,-0.002550051
398,9/30/2014,1972.290039,-0.002789817
399,10/1/2014,1946.160034,-0.013337106
400,10/2/2014,1946.170044,5.14345E-06
401,10/3/2014,1967.900024,0.011103635
402,10/6/2014,1964.819946,-0.001566386
403,10/7/2014,1935.099976,-0.015241618
404,10/8/2014,1968.890015,0.017310947
405,10/9/2014,1928.209961,-0.020877849
406,10/10/2014,1906.130005,-0.01151708
407,10/13/2014,1874.73999,-0.016605033
408,10/14/2014,1877.699951,0.00157762
409,10/15/2014,1862.48999,-0.008133301
410,10/16/2014,1862.76001,0.000144967
411,10/17/2014,1886.76001,0.012801813
412,10/20/2014,1904.01001,0.009101116
413,10/21/2014,1941.280029,0.019385371
414,10/22/2014,1927.109985,-0.007326101
415,10/23/2014,1950.819946,0.012228306
416,10/24/2014,1964.579956,0.00702869
417,10/27/2014,1961.630005,-0.001502697
418,10/28/2014,1985.050049,0.011868365
419,10/29/2014,1982.300049,-0.001386316
420,10/30/2014,1994.650024,0.006210797
421,10/31/2014,2018.050049,0.011663115
422,11/3/2014,2017.810059,-0.000118929
423,11/4/2014,2012.099976,-0.002833853
424,11/5/2014,2023.569946,0.005684311
425,11/6/2014,2031.209961,0.003768404
426,11/7/2014,2031.920044,0.000349525
427,11/10/2014,2038.26001,0.003115327
428,11/11/2014,2039.680054,0.000696452
429,11/12/2014,2038.25,-0.000701363
430,11/13/2014,2039.329956,0.000529704
431,11/14/2014,2039.819946,0.000240241
432,11/17/2014,2041.319946,0.000735089
433,11/18/2014,2051.800049,0.00512085
434,11/19/2014,2048.719971,-0.001502287
435,11/20/2014,2052.75,0.001965164
436,11/21/2014,2063.5,0.005223213
437,11/24/2014,2069.409912,0.00285993
438,11/25/2014,2067.030029,-0.001150692
439,11/26/2014,2072.830078,0.002802053
440,11/28/2014,2067.560059,-0.002545664
441,12/1/2014,2053.439941,-0.00685279
442,12/2/2014,2066.550049,0.006364167
443,12/3/2014,2074.330078,0.003757674
444,12/4/2014,2071.919922,-0.001162572
445,12/5/2014,2075.370117,0.001663831
446,12/8/2014,2060.310059,-0.007283022
447,12/9/2014,2059.820068,-0.000237852
448,12/10/2014,2026.140015,-0.016486121
449,12/11/2014,2035.329956,0.004525434
450,12/12/2014,2002.329956,-0.016346466
451,12/15/2014,1989.630005,-0.006362786
452,12/16/2014,1972.73999,-0.00852526
453,12/17/2014,2012.890015,0.020148074
454,12/18/2014,2061.22998,0.023731374
455,12/19/2014,2070.649902,0.004559638
456,12/22/2014,2078.540039,0.003803223
457,12/23/2014,2082.169922,0.001744839
458,12/24/2014,2081.879883,-0.000139306
459,12/26/2014,2088.77002,0.00330411
460,12/29/2014,2090.570068,0.000861403
461,12/30/2014,2080.350098,-0.004900593
