	SP	DAX	FTSE	EUR	GBP
6/1/99	1294.26001	5021.240234	6250	1.037	1.6103
6/2/99	1294.810059	4997.830078	6302.200195	1.0391	1.6067
6/4/99	1327.75	5107.810059	6361.5	1.0295	1.6061
6/7/99	1334.52002	5190.149902	6412	1.0437	1.6032
6/8/99	1317.329956	5211.080078	6431.5	1.0445	1.6019
6/9/99	1318.640015	5253.890137	6453	1.0507	1.6043
6/10/99	1302.819946	5206.470215	6403.399902	1.0487	1.6101
6/11/99	1293.640015	5262.149902	6484.799805	1.0438	1.6123
6/14/99	1294	5268.870117	6430.200195	1.0418	1.5979
6/15/99	1301.160034	5342.859863	6451.200195	1.032	1.5928
6/16/99	1330.410034	5381.25	6504.899902	1.0306	1.5936
6/17/99	1339.900024	5412	6493.600098	1.0414	1.5958
6/18/99	1342.839966	5430.319824	6527.799805	1.0327	1.587
6/21/99	1349	5468.470215	6581.299805	1.0326	1.5902
6/22/99	1335.880005	5468.669922	6552.399902	1.0294	1.5785
6/23/99	1333.060059	5399.109863	6496.5	1.0315	1.5797
6/24/99	1315.780029	5327.600098	6416.700195	1.0431	1.5875
6/25/99	1315.310059	5301.209961	6435.399902	1.0396	1.5813
6/28/99	1331.349976	5356.950195	6405.799805	1.0344	1.5803
6/29/99	1351.449951	5359.529785	6307.100098	1.0327	1.5748
6/30/99	1372.709961	5378.52002	6318.5	1.0241	1.5774
7/1/99	1380.959961	5480.220215	6488.899902	1.0248	1.5763
7/2/99	1391.219971	5519.049805	6491.899902	1.0218	1.5686
7/6/99	1388.119995	5612.899902	6620.600098	1.0208	1.5568
7/7/99	1395.859985	5588.5	6597.399902	1.0168	1.5563
7/8/99	1394.420044	5607.100098	6557.299805	1.0213	1.5519
7/9/99	1403.280029	5638.950195	6562.600098	1.014	1.5532
7/12/99	1399.099976	5652.02002	6545.5	1.0194	1.5581
7/13/99	1393.560059	5573.819824	6445.600098	1.0186	1.5587
7/14/99	1398.170044	5610.890137	6473.100098	1.0239	1.5685
7/15/99	1409.619995	5619.259766	6575	1.0149	1.56
7/19/99	1407.650024	5624.740234	6483.700195	1.0379	1.5682
7/20/99	1377.099976	5491.290039	6392	1.0497	1.5748
7/21/99	1379.290039	5414.169922	6329.799805	1.0503	1.5858
7/22/99	1360.969971	5340.910156	6297.799805	1.0505	1.5803
7/23/99	1356.939941	5310.629883	6207.399902	1.0677	1.5928
7/26/99	1347.76001	5206.439941	6169.100098	1.0644	1.5908
7/27/99	1362.839966	5224.160156	6262.799805	1.0601	1.5882
7/28/99	1365.400024	5229.560059	6297.200195	1.0675	1.6071
7/29/99	1341.030029	5052.319824	6117.5	1.0692	1.6203
7/30/99	1328.719971	5101.870117	6231.899902	1.0662	1.6162
8/2/99	1328.050049	5129.5	6288.299805	1.0647	1.6165
8/3/99	1322.180054	5107.680176	6250.700195	1.0768	1.6222
8/4/99	1305.329956	5119.370117	6235.399902	1.0801	1.6183
8/5/99	1313.709961	4978.450195	6101.600098	1.0753	1.6158
8/6/99	1300.290039	5010.470215	6121	1.0697	1.6028
8/9/99	1297.800049	5087.299805	6126.5	1.0742	1.6139
8/10/99	1281.430054	5000.870117	5978.399902	1.0662	1.6115
8/11/99	1301.930054	5019.689941	6014.399902	1.0632	1.6091
8/12/99	1298.160034	5127.430176	6153.299805	1.0585	1.6063
8/13/99	1327.680054	5219.430176	6245.100098	1.0568	1.6028
8/16/99	1330.77002	5257.100098	6235.399902	1.0505	1.5982
8/17/99	1344.160034	5259.910156	6166.5	1.0551	1.6063
8/18/99	1332.839966	5230.470215	6201.799805	1.0596	1.6118
8/19/99	1323.589966	5186.850098	6118	1.0666	1.6178
8/20/99	1336.609985	5254.140137	6180.799805	1.0584	1.61
8/23/99	1360.219971	5301.97998	6322.100098	1.0517	1.597
8/24/99	1363.5	5324.02002	6315.100098	1.0445	1.5893
8/25/99	1381.790039	5400.319824	6369.5	1.0458	1.5891
8/26/99	1362.01001	5389.339844	6383.899902	1.0466	1.5873
8/27/99	1348.27002	5420.359863	6375.200195	1.0458	1.5886
8/30/99	1324.02002	5392.529785	6375.200195	1.0569	1.6086
8/31/99	1320.410034	5270.77002	6246.399902	1.0601	1.607
9/1/99	1331.069946	5317.120117	6276.200195	1.0688	1.6098
9/2/99	1319.109985	5189.919922	6195.600098	1.0599	1.6045
9/3/99	1357.23999	5336.220215	6332.200195	1.0589	1.6068
9/7/99	1350.449951	5391.359863	6309.5	1.0596	1.6229
9/8/99	1344.150024	5400.700195	6253.600098	1.0593	1.6336
9/9/99	1347.660034	5436.859863	6260.600098	1.0471	1.6238
9/10/99	1351.660034	5483.950195	6191	1.0375	1.6134
9/13/99	1344.130005	5446.910156	6169	1.0405	1.6048
9/14/99	1336.290039	5401.470215	6116	1.0301	1.6008
9/15/99	1317.969971	5387.180176	6067.700195	1.0397	1.6195
9/17/99	1335.420044	5303.939941	6039.799805	1.0413	1.6215
9/20/99	1335.530029	5351.97998	6056.5	1.0449	1.6305
9/21/99	1307.579956	5282.759766	5957.299805	1.0508	1.6398
9/22/99	1310.51001	5238.759766	5913.899902	1.0422	1.6366
9/23/99	1280.410034	5299.569824	5969.700195	1.0461	1.642
9/24/99	1277.359985	5186.529785	5937.600098	1.0411	1.6445
9/27/99	1283.310059	5239.640137	6078.600098	1.0504	1.651
9/28/99	1282.199951	5119.100098	6007.200195	1.0645	1.6461
9/30/99	1282.709961	5149.830078	6029.799805	1.0714	1.6516
10/1/99	1282.810059	5124.549805	5970.700195	1.0703	1.6551
10/4/99	1304.599976	5218.859863	6052.899902	1.0688	1.6542
10/5/99	1301.349976	5301.850098	6084.5	1.0724	1.6578
10/6/99	1325.400024	5353.319824	6097.5	1.0724	1.6533
10/7/99	1317.640015	5419.310059	6200.5	1.0661	1.6536
10/8/99	1336.02002	5419.259766	6199.399902	1.0694	1.6525
10/12/99	1313.040039	5358.459961	6174.899902	1.0742	1.6552
10/13/99	1285.550049	5295.430176	6113.399902	1.077	1.6556
10/14/99	1283.420044	5220.290039	6039.399902	1.0874	1.6685
10/15/99	1247.410034	5184.22998	5907.299805	1.0858	1.6696
10/18/99	1254.130005	5156.279785	5869.200195	1.0806	1.6706
10/19/99	1261.319946	5296.910156	5993.700195	1.0787	1.6692
10/20/99	1289.430054	5291.22998	6006.700195	1.0817	1.6772
10/21/99	1283.609985	5246.490234	5939.299805	1.0705	1.6679
10/22/99	1301.650024	5357.75	6058.899902	1.0688	1.6608
10/25/99	1293.630005	5320.399902	6009.399902	1.0577	1.6528
10/26/99	1281.910034	5388.759766	6092.399902	1.0556	1.6516
10/27/99	1296.709961	5363.859863	6045.700195	1.049	1.6381
10/28/99	1342.439941	5478.890137	6149.100098	1.0491	1.6387
10/29/99	1362.930054	5525.399902	6255.700195	1.0542	1.647
11/1/99	1354.119995	5524.919922	6284	1.0516	1.6481
11/2/99	1347.73999	5546.950195	6252	1.0476	1.6471
11/3/99	1354.930054	5560.870117	6280.799805	1.0521	1.6454
11/4/99	1362.640015	5635.620117	6331.299805	1.0396	1.6213
11/5/99	1370.22998	5658.100098	6356.600098	1.0377	1.6197
11/8/99	1377.01001	5647.939941	6374.299805	1.0428	1.6248
11/9/99	1365.280029	5694.72998	6435.5	1.0405	1.622
11/10/99	1373.459961	5742.419922	6447	1.0314	1.6147
11/12/99	1396.060059	5791.049805	6511.600098	1.0305	1.6183
11/15/99	1394.390015	5859.290039	6533.600098	1.0328	1.6213
11/16/99	1420.069946	5909.52002	6583	1.0407	1.6243
11/17/99	1410.709961	5870.169922	6555.700195	1.0371	1.6212
11/18/99	1424.939941	5950.049805	6550.799805	1.0298	1.6171
11/19/99	1422	5955.970215	6482.299805	1.0324	1.6217
11/22/99	1420.939941	5819.890137	6442	1.0297	1.627
11/23/99	1404.640015	5814.740234	6534.200195	1.0225	1.6157
