Date,Open,High,Low,Close,Return
31/12/15,2060.590088,2062.540039,2043.619995,2043.939941,-0.009456485
30/12/15,2077.340088,2077.340088,2061.969971,2063.360107,-0.007243399
29/12/15,2060.540039,2081.560059,2060.540039,2078.360107,0.010573664
28/12/15,2057.77002,2057.77002,2044.199951,2056.5,-0.002180936
24/12/15,2063.52002,2067.360107,2058.72998,2060.98999,-0.001599915
23/12/15,2042.199951,2064.72998,2042.199951,2064.290039,0.012341596
22/12/15,2023.150024,2042.73999,2020.48999,2038.969971,0.008778096
21/12/15,2010.27002,2022.900024,2005.930054,2021.150024,0.007748306
18/12/15,2040.810059,2040.810059,2005.329956,2005.550049,-0.017957495
17/12/15,2073.76001,2076.370117,2041.660034,2041.890015,-0.015154776
16/12/15,2046.5,2076.719971,2042.430054,2073.070068,0.014410636
15/12/15,2025.550049,2053.870117,2025.550049,2043.410034,0.01056258
14/12/15,2013.369995,2022.920044,1993.26001,2021.939941,0.004744288
11/12/15,2047.27002,2047.27002,2008.800049,2012.369995,-0.019613868
10/12/15,2047.930054,2067.649902,2045.670044,2052.22998,0.002248856
9/12/15,2061.169922,2080.330078,2036.530029,2047.619995,-0.007769086
8/12/15,2073.389893,2073.850098,2052.320068,2063.590088,-0.006511052
7/12/15,2090.419922,2090.419922,2066.780029,2077.070068,-0.007014044
4/12/15,2051.23999,2093.840088,2051.23999,2091.689941,0.020317856
3/12/15,2080.709961,2085,2042.349976,2049.620117,-0.014477827
2/12/15,2101.709961,2104.27002,2077.110107,2079.51001,-0.011056593
1/12/15,2082.929932,2103.370117,2082.929932,2102.629883,0.010623939
30/11/15,2090.949951,2093.810059,2080.409912,2080.409912,-0.0046518
27/11/15,2088.820068,2093.290039,2084.129883,2090.110107,0.000593441
25/11/15,2089.300049,2093,2086.300049,2088.870117,-0.000129141
24/11/15,2084.419922,2094.120117,2070.290039,2089.139893,0.00122125
23/11/15,2089.409912,2095.610107,2081.389893,2086.590088,-0.001235624
20/11/15,2082.820068,2097.060059,2082.820068,2089.169922,0.003802955
19/11/15,2083.699951,2086.73999,2078.76001,2081.23999,-0.00112374
18/11/15,2051.98999,2085.310059,2051.98999,2083.580078,0.01603323
17/11/15,2053.669922,2066.689941,2045.900024,2050.439941,-0.001340277
16/11/15,2022.079956,2053.219971,2019.390015,2053.189941,0.014793303
13/11/15,2044.640015,2044.640015,2022.02002,2023.040039,-0.011270641
12/11/15,2072.290039,2072.290039,2045.660034,2045.969971,-0.014089163
11/11/15,2083.409912,2086.939941,2074.850098,2075,-0.003233307
10/11/15,2077.189941,2083.669922,2069.909912,2081.719971,0.001509455
9/11/15,2096.560059,2096.560059,2068.23999,2078.580078,-0.009871291
6/11/15,2098.600098,2101.909912,2083.73999,2099.199951,-0.000347682
5/11/15,2101.679932,2108.780029,2090.409912,2099.929932,-0.00113279
4/11/15,2110.600098,2114.590088,2096.97998,2102.310059,-0.003551667
3/11/15,2102.629883,2116.47998,2097.51001,2109.790039,0.002724353
2/11/15,2080.76001,2106.199951,2080.76001,2104.050049,0.011803877
30/10/15,2090,2094.320068,2079.340088,2079.360107,-0.004821482
29/10/15,2088.350098,2092.52002,2082.629883,2089.409912,-0.000449876
28/10/15,2066.47998,2090.350098,2063.110107,2090.350098,0.011770488
27/10/15,2068.75,2070.370117,2058.840088,2065.889893,-0.002557386
26/10/15,2075.080078,2075.139893,2066.530029,2071.179932,-0.001914933
23/10/15,2058.189941,2079.73999,2058.189941,2075.149902,0.010969954
22/10/15,2021.880005,2055.199951,2021.880005,2052.51001,0.016490847
21/10/15,2033.469971,2037.969971,2017.219971,2018.939941,-0.005842449
20/10/15,2033.130005,2039.119995,2026.609985,2030.77002,-0.001422101
19/10/15,2031.72998,2034.449951,2022.310059,2033.660034,0.000270509
16/10/15,2024.369995,2033.540039,2020.459961,2033.109985,0.004560061
15/10/15,1996.469971,2024.150024,1996.469971,2023.859985,0.014743551
14/10/15,2003.660034,2009.560059,1990.72998,1994.23999,-0.004727431
13/10/15,2015,2022.339966,2001.780029,2003.689941,-0.006848824
12/10/15,2015.650024,2018.660034,2010.550049,2017.459961,0.001274664
9/10/15,2013.72998,2020.130005,2007.609985,2014.890015,0.000724849
8/10/15,1994.01001,2016.5,1987.530029,2013.430054,0.00877978
7/10/15,1982.339966,1999.310059,1976.439941,1995.829956,0.00800352
6/10/15,1986.630005,1991.619995,1971.98999,1979.920044,-0.003594689
5/10/15,1954.329956,1989.170044,1954.329956,1987.050049,0.018124594
2/10/15,1921.77002,1951.359985,1893.699951,1951.359985,0.014213793
1/10/15,1919.650024,1927.209961,1900.699951,1923.819946,0.001971939
30/09/15,1887.140015,1920.530029,1887.140015,1920.030029,0.018895898
29/09/15,1881.900024,1899.47998,1871.910034,1884.089966,0.001232094
28/09/15,1929.180054,1929.180054,1879.209961,1881.77002,-0.026001211
25/09/15,1935.930054,1952.890015,1921.5,1931.339966,-0.000465902
24/09/15,1934.810059,1937.170044,1908.920044,1932.23999,-0.003368652
23/09/15,1943.23999,1949.52002,1932.569946,1938.76001,-0.002050744
22/09/15,1961.390015,1961.390015,1929.219971,1942.73999,-0.01239493
21/09/15,1960.839966,1979.640015,1955.800049,1966.969971,0.004555392
18/09/15,1989.660034,1989.660034,1953.449951,1958.030029,-0.016296231
17/09/15,1995.329956,2020.859985,1986.72998,1990.199951,-0.002564345
16/09/15,1978.02002,1997.26001,1977.930054,1995.310059,0.008667741
15/09/15,1955.099976,1983.189941,1954.300049,1978.089966,0.012749688
14/09/15,1963.060059,1963.060059,1948.27002,1953.030029,-0.004098041
11/9/15,1951.449951,1961.050049,1939.189941,1961.050049,0.004477007
10/9/15,1941.589966,1965.290039,1937.189941,1952.290039,0.005264075
9/9/15,1971.449951,1988.630005,1937.880005,1942.040039,-0.013995036
8/9/15,1927.300049,1970.420044,1927.300049,1969.410034,0.024773637
4/9/15,1947.76001,1947.76001,1911.209961,1921.219971,-0.015448309
3/9/15,1950.790039,1975.01001,1944.719971,1951.130005,0.001164116
2/9/15,1916.52002,1948.910034,1916.52002,1948.859985,0.018127671
1/9/15,1970.089966,1970.089966,1903.069946,1913.849976,-0.03002265
31/08/15,1986.72998,1986.72998,1965.97998,1972.180054,-0.008427078
28/08/15,1986.060059,1993.47998,1975.189941,1988.869995,0.000608551
27/08/15,1942.77002,1989.599976,1942.77002,1987.660034,0.024007254
26/08/15,1872.75,1943.089966,1872.75,1940.51001,0.0382913
25/08/15,1898.079956,1948.040039,1867.079956,1867.609985,-0.01361425
24/08/15,1965.150024,1965.150024,1867.01001,1893.209961,-0.040211444
21/08/15,2034.079956,2034.079956,1970.890015,1970.890015,-0.032369242
20/08/15,2076.610107,2076.610107,2035.72998,2035.72998,-0.02132596
19/08/15,2095.689941,2096.169922,2070.530029,2079.610107,-0.008289137
18/08/15,2101.98999,2103.469971,2094.139893,2096.919922,-0.002628983
17/08/15,2089.699951,2102.870117,2079.300049,2102.439941,0.005197892
14/08/15,2083.149902,2092.449951,2080.610107,2091.540039,0.003904332
13/08/15,2086.189941,2092.929932,2078.26001,2083.389893,-0.001276026
12/8/15,2081.100098,2089.060059,2052.090088,2086.050049,0.000949604
11/8/15,2102.659912,2102.659912,2076.48999,2084.070068,-0.009603065
10/8/15,2080.97998,2105.350098,2080.97998,2104.179932,0.012726836
7/8/15,2082.610107,2082.610107,2067.909912,2077.570068,-0.002879023
6/8/15,2100.75,2103.320068,2075.530029,2083.560059,-0.007783196
5/8/15,2095.27002,2112.659912,2095.27002,2099.840088,0.003109838
4/8/15,2097.679932,2102.51001,2088.600098,2093.320068,-0.002252239
3/8/15,2104.48999,2105.699951,2087.310059,2098.040039,-0.002760694
31/07/15,2111.600098,2114.23999,2102.070068,2103.840088,-0.002274104
30/07/15,2106.780029,2110.47998,2094.969971,2108.629883,2.84E-05
29/07/15,2094.699951,2110.600098,2094.080078,2108.570068,0.007292143
