Date,GOOG,GOOGL
2/6/15,531.002415,533.880005
2/9/15,527.832406,529.280029
2/10/15,536.942412,540.159973
2/11/15,535.972405,538
2/12/15,542.932472,546.01001
2/13/15,549.012501,551.159973
2/17/15,542.842443,545.01001
2/18/15,539.702422,542.650024
2/19/15,542.872432,546.450012
2/20/15,538.952441,541.799988
2/23/15,531.912381,535
2/24/15,536.092424,538.650024
2/25/15,543.872489,547.330017
2/26/15,555.482516,559.289978
2/27/15,558.402511,562.630005
3/2/15,571.342601,575.02002
3/3/15,573.64261,578.789978
3/4/15,573.372583,578.330017
3/5/15,575.332609,581.429993
3/6/15,567.687558,572.900024
3/9/15,568.852557,574.099976
3/10/15,555.012538,559.849976
3/11/15,551.182515,555.690002
3/12/15,555.512505,561.169983
3/13/15,547.322503,553
3/16/15,554.512509,561.640015
3/17/15,550.842471,557.609985
3/18/15,559.502513,566.159973
3/19/15,557.992512,563.669983
3/20/15,560.362537,564.950012
3/23/15,558.81251,565.369995
3/24/15,570.192597,577.539978
3/25/15,558.787539,567
3/26/15,555.172522,563.640015
3/27/15,548.342512,557.549988
3/30/15,552.032502,561.140015
3/31/15,548.002468,554.700012
4/1/15,542.562439,549.48999
4/2/15,535.532417,541.309998
4/6/15,536.767432,543.950012
4/7/15,537.022404,544.859985
4/8/15,541.612446,548.840027
4/9/15,540.782472,548.02002
4/10/15,540.012416,548.539978
4/13/15,539.172466,548.640015
4/14/15,530.392405,539.780029
4/15/15,532.532429,541.039978
4/16/15,533.802391,543.52002
4/17/15,524.052386,532.73999
4/20/15,535.382408,544.530029
4/21/15,533.972413,542.919983
4/22/15,539.367458,549.179993
4/23/15,547.002472,557.460022
4/24/15,565.062561,573.659973
4/27/15,555.369995,566.119995
4/28/15,553.679993,564.369995
4/29/15,549.080017,561.390015
4/30/15,537.340027,548.77002
5/1/15,537.900024,551.159973
5/4/15,540.780029,552.840027
5/5/15,530.799988,543.039978
5/6/15,524.219971,535.080017
5/7/15,530.700012,542.039978
5/8/15,538.219971,548.950012
5/11/15,535.700012,545.780029
5/12/15,529.039978,538.72998
5/13/15,529.619995,539.48999
5/14/15,538.400024,549.200012
5/15/15,533.849976,546.48999
5/18/15,532.299988,546.669983
5/19/15,537.359985,549.280029
5/20/15,539.27002,552.51001
5/21/15,542.51001,556.809998
5/22/15,540.109985,554.52002
5/26/15,532.320007,547.190002
5/27/15,539.789978,554.25
5/28/15,539.780029,554.179993
5/29/15,532.109985,545.320007
6/1/15,533.98999,549.210022
6/2/15,539.179993,553.950012
6/3/15,540.309998,555.289978
6/4/15,536.700012,551.690002
6/5/15,533.330017,549.530029
6/8/15,526.830017,543.47998
6/9/15,526.690002,542.159973
6/10/15,536.690002,552.599976
6/11/15,534.609985,550.039978
6/12/15,532.330017,547.469971
6/15/15,527.200012,543
6/16/15,528.150024,544.869995
6/17/15,529.26001,546.599976
6/18/15,536.72998,556.179993
6/19/15,536.690002,557.52002
6/22/15,538.190002,559.679993
6/23/15,540.47998,563.390015
6/24/15,537.840027,558.570007
6/25/15,535.22998,557.950012
6/26/15,531.690002,553.059998
6/29/15,521.52002,541.25
6/30/15,520.51001,540.039978
7/1/15,521.840027,543.299988
7/2/15,523.400024,547.340027
7/6/15,522.859985,545.619995
7/7/15,525.02002,550.030029
7/8/15,516.830017,541.700012
7/9/15,520.679993,544.650024
7/10/15,530.130005,556.109985
7/13/15,546.549988,571.72998
7/14/15,561.099976,584.179993
7/15/15,560.219971,583.960022
7/16/15,579.849976,601.780029
7/17/15,672.929993,699.619995
7/20/15,663.02002,692.840027
7/21/15,662.299988,695.349976
7/22/15,662.099976,695.099976
7/23/15,644.280029,674.72998
7/24/15,623.559998,654.77002
7/27/15,627.26001,658.27002
7/28/15,628,659.659973
7/29/15,631.929993,661.429993
7/30/15,632.590027,664.559998
7/31/15,625.609985,657.5
8/3/15,631.210022,664.719971
8/4/15,629.25,661.280029
8/5/15,643.780029,673.289978
8/6/15,642.679993,670.150024
8/7/15,635.299988,664.390015
8/10/15,633.72998,663.140015
8/11/15,660.780029,690.299988
8/12/15,659.559998,691.469971
8/13/15,656.450012,686.51001
8/14/15,657.119995,689.369995
8/17/15,660.869995,694.109985
8/18/15,656.130005,688.72998
8/19/15,660.900024,694.039978
8/20/15,646.830017,679.47998
8/21/15,612.47998,644.030029
8/24/15,589.609985,618.109985
8/25/15,582.059998,612.469971
8/26/15,628.619995,659.73999
8/27/15,637.609985,667.960022
8/28/15,630.380005,659.690002
8/31/15,618.25,647.820007
9/1/15,597.789978,629.559998
9/2/15,614.340027,644.909973
9/3/15,606.25,637.049988
9/4/15,600.700012,628.960022
9/8/15,614.659973,643.880005
9/9/15,612.719971,643.409973
9/10/15,621.349976,651.080017
9/11/15,625.77002,655.299988
9/14/15,623.23999,652.469971
9/15/15,635.140015,665.070007
9/16/15,635.97998,665.52002
9/17/15,642.900024,671.669983
9/18/15,629.25,660.919983
9/21/15,635.440002,666.97998
9/22/15,622.690002,653.200012
9/23/15,622.359985,653.289978
9/24/15,625.799988,654.909973
9/25/15,611.969971,640.150024
9/28/15,594.890015,624.25
9/29/15,594.969971,622.609985
9/30/15,608.419983,638.369995
10/1/15,611.289978,642
10/2/15,626.909973,656.98999
10/5/15,641.469971,671.679993
10/6/15,645.440002,671.640015
10/7/15,642.359985,670
10/8/15,639.159973,667
10/9/15,643.609985,671.23999
10/12/15,646.669983,676.429993
10/13/15,652.299988,683.169983
10/14/15,651.159973,680.409973
10/15/15,661.73999,693.02002
10/16/15,662.200012,695.320007
10/19/15,666.099976,699.950012
10/20/15,650.280029,680
10/21/15,642.609985,671.799988
10/22/15,651.789978,681.140015
10/23/15,702,719.330017
10/26/15,712.780029,731.119995
10/27/15,708.48999,732.820007
10/28/15,712.950012,736.919983
10/29/15,716.919983,744.849976
10/30/15,710.809998,737.390015
11/2/15,721.109985,747.73999
11/3/15,722.159973,748.820007
11/4/15,728.109985,755.309998
11/5/15,731.25,760.669983
11/6/15,733.76001,761.599976
11/9/15,724.890015,754.77002
11/10/15,728.320007,758.26001
11/11/15,735.400024,765.25
11/12/15,731.22998,756.530029
11/13/15,717,740.070007
11/16/15,728.960022,750.419983
11/17/15,725.299988,745.97998
11/18/15,740,760.01001
11/19/15,738.409973,759.940002
11/20/15,756.599976,777
11/23/15,755.97998,776.700012
11/24/15,748.280029,769.630005
11/25/15,748.150024,769.26001
11/27/15,750.26001,771.969971
